name,units,query_name,shortname,id,access_type,fc,an,note
Total column hydrogen bromide,kg m-2,total_column_hydrogen_bromide,tc_hbr,218068,,X,X,Available from 28 June 2023
Total column hydrogen fluoride,kg m-2,total_column_hydrogen_fluoride,tc_hf,218202,,X,X,Available from 28 June 2023
Total column hydroperoxy radical,kg m-2,total_column_hydroperoxy_radical,tc_ho2,218028,,X,X,Only available from 20 June 2017 00UTC
Total column of hypobromous acid,kg m-2,total_column_hypobromous_acid,tc_hobr,218070,,X,X,Available from 28 June 2023
Total column of hypochlorous acid,kg m-2,total_column_hypochlorous_acid,tc_hocl,218065,,X,X,Available from 28 June 2023
Total column HYPROPO2,kg m-2,total_column_hypropo2,tc_hypropo2,218055,,X,X,Only available from 06 October 2020 00UTC
Total column IC3H7O2,kg m-2,total_column_ic3h7o2,tc_ic3h7o2,218054,,X,X,Only available from 06 October 2020 00UTC
Total column lead,kg m-2,total_column_lead,tc_pb,218026,,X,X,Only available from 06 October 2020 00UTC
Total column methacrolein MVK,kg m-2,total_column_methacrolein_mvk,tc_ispd,218050,,X,X,Only available from 06 October 2020 00UTC
Total column methacrylic acid,kg m-2,total_column_methacrylic_acid,tc_mcooh,218044,,X,X,Only available from 06 October 2020 00UTC
Total column methane sulfonic acid,kg m-2,total_column_methane_sulfonic_acid,tc_msa,218022,,X,X,Only available from 06 October 2020 00UTC
Total column methanol,kg m-2,total_column_methanol,tc_ch3oh,218042,,X,X,Only available from 26 June 2018 12UTC
Total column of methyl bromide,kg m-2,total_column_methyl_bromide,tc_ch3br,218080,,X,X,Available from 28 June 2023
Total column of methyl chloride,kg m-2,total_column_methyl_chloride,tc_ch3cl,218078,,X,X,Available from 28 June 2023
Total column of methyl chloroform,kg m-2,total_column_methyl_chloroform,tc_ch3ccl3,218077,,X,X,Available from 28 June 2023
Total column methyl glyoxal,kg m-2,total_column_methyl_glyoxal,tc_ch3cocho,218023,,X,X,Only available from 06 October 2020 00UTC
Total column methyl peroxide,kg m-2,total_column_methyl_peroxide,tc_ch3ooh,218007,,X,X,Only available from 26 June 2018 12UTC
Total column methylperoxy radical,kg m-2,total_column_methylperoxy_radical,tc_ch3o2,218029,,X,X,Only available from 06 October 2020 00UTC
Total column nitrate,kg m-2,total_column_nitrate,tc_no3_a,218051,,X,X,Only available from 06 October 2020 00UTC
Total column nitrate radical,kg m-2,total_column_nitrate_radical,tc_no3,218032,,X,X,Only available from 06 October 2020 00UTC
Total column nitrogen oxides Transp,kg m-2,total_column_nitrogen_oxides_transp,tc_noxa,218056,,X,X,Only available from 06 October 2020 00UTC
Total column of nitryl chloride,kg m-2,total_column_nitryl_chloride,tc_clno2,218067,,X,X,Available from 28 June 2023
Total column NO to alkyl nitrate operator,kg m-2,total_column_no_to_alkyl_nitrate_operator,tc_xo2n,218039,,X,X,Only available from 06 October 2020 00UTC
Total column NO to NO2 operator,kg m-2,total_column_no_to_no2_operator,tc_xo2,218038,,X,X,Only available from 06 October 2020 00UTC
Total column olefins,kg m-2,total_column_olefins,tc_ole,218011,,X,X,Only available from 26 June 2018 12UTC
Total column organic ethers,kg m-2,total_column_organic_ethers,tc_ror,218036,,X,X,Only available from 06 October 2020 00UTC
Total column organic nitrates,kg m-2,total_column_organic_nitrates,tc_onit,218015,,X,X,Only available from 26 June 2018 12UTC
Total column paraffins,kg m-2,total_column_paraffins,tc_par,218009,,X,X,Only available from 26 June 2018 12UTC
Total column pernitric acid,kg m-2,total_column_pernitric_acid,tc_ho2no2,218034,,X,X,Only available from 06 October 2020 00UTC
Total column peroxides,kg m-2,total_column_peroxides,tc_rooh,218014,,X,X,Only available from 06 October 2020 00UTC
Total column peroxy acetyl radical,kg m-2,total_column_peroxy_acetyl_radical,tc_c2o3,218035,,X,X,Only available from 06 October 2020 00UTC
Total column polar stratospheric cloud,kg m-2,total_column_polar_stratospheric_cloud,tc_psc,218041,,X,X,Only available from 06 October 2020 00UTC
Total column propene,kg m-2,total_column_propene,tc_c3h6,218048,,X,X,Only available from 06 October 2020 00UTC
Total column Radon,kg m-2,total_column_radon,tcra,210183,,X,X,Only available from 06 October 2020 00UTC
Total column rain water,kg m-2,total_column_rain_water,tcrw,228089,,X,X,Only available from 21 June 2016 00UTC
Total column snow water,kg m-2,total_column_snow_water,tcsw,228090,,X,X,Only available from 21 June 2016 00UTC
Source/gain of ammonium aerosol,kg m-2 s-1,total_column_source_of_ammonium_aerosol,aersrcam,215205,,X,,Only available from 9 July 2019 00UTC
Source/gain of coarse-mode nitrate aerosol,kg m-2 s-1,total_column_source_of_coarse_mode_nitrate_aerosol,aersrcnic,215190,,X,,Only available from 9 July 2019 00UTC
Source/gain of dust aerosol (0.03 - 0.55 um),kg m-2 s-1,total_column_source_of_dust_aerosol_0.03-0.55um,aersrcdus,215025,,X,,Only available from 26 June 2018 12UTC
Source/gain of dust aerosol (0.55 - 9 um),kg m-2 s-1,total_column_source_of_dust_aerosol_0.55-9um,aersrcdum,215026,,X,,Only available from 26 June 2018 12UTC
Source/gain of dust aerosol (9 - 20 um),kg m-2 s-1,total_column_source_of_dust_aerosol_9-20um,aersrcdul,215027,,X,,Only available from 26 June 2018 12UTC
Source/gain of fine-mode nitrate aerosol,kg m-2 s-1,total_column_source_of_fine_mode_nitrate_aerosol,aersrcnif,215189,,X,,Only available from 26 June 2018 12UTC
Source/gain of hydrophilic black carbon aerosol,kg m-2 s-1,total_column_source_of_hydrophilic_black_carbon_aerosol,aersrcbchphil,215066,,X,,Only available from 26 June 2018 12UTC
Source/gain of hydrophilic organic matter aerosol,kg m-2 s-1,total_column_source_of_hydrophilic_organic_matter_aerosol,aersrcomhphil,215050,,X,,Only available from 26 June 2018 12UTC
Source/gain of hydrophobic black carbon aerosol,kg m-2 s-1,total_column_source_of_hydrophobic_black_carbon_aerosol,aersrcbchphob,215065,,X,,Only available from 26 June 2018 12UTC
Source/gain of hydrophobic organic matter aerosol,kg m-2 s-1,total_column_source_of_hydrophobic_organic_matter_aerosol,aersrcomhphob,215049,,X,,Only available from 26 June 2018 12UTC
Source/gain of sea salt aerosol (0.03 - 0.5 um),kg m-2 s-1,total_column_source_of_sea_salt_aerosol_0.03-0.5um,aersrcsss,215001,,X,,Only available from 26 June 2018 12UTC
Source/gain of sea salt aerosol (0.5 - 5 um),kg m-2 s-1,total_column_source_of_sea_salt_aerosol_0.5-5um,aersrcssm,215002,,X,,Only available from 26 June 2018 12UTC
Source/gain of sea salt aerosol (5 - 20 um),kg m-2 s-1,total_column_source_of_sea_salt_aerosol_5-20um,aersrcssl,215003,,X,,Only available from 26 June 2018 12UTC
Source/gain of sulphate aerosol,kg m-2 s-1,total_column_source_of_sulphate_aerosol,aersrcsu,215081,,X,,Only available from 26 June 2018 12UTC
Total column stratospheric ozone,kg m-2,total_column_stratospheric_ozone,tc_o3s,218024,,X,X,Only available from 20 June 2017 00UTC
Total column supercooled liquid water,kg m-2,total_column_supercooled_liquid_water,tcslw,228088,,X,,Only available from 21 June 2016 00UTC
Total column terpenes,kg m-2,total_column_terpenes,tc_c10h16,218049,,X,X,Only available from 06 October 2020 00UTC
Total column of tetrachloromethane,kg m-2,total_column_tetrachloromethane,tc_ccl4,218076,,X,X,Available from 28 June 2023
Total column of tribromomethane,kg m-2,total_column_tribromomethane,tc_chbr3,218197,,X,X,Available from 28 June 2023
Total column of trichlorofluoromethane,kg m-2,total_column_trichlorofluoromethane,tc_cfc11,218071,,X,X,Available from 28 June 2023
Total column of trichlorotrifluoroethane,kg m-2,total_column_trichlorotrifluoroethane,tc_cfc113,218073,,X,X,Available from 28 June 2023
Total column of trifluorobromomethane,kg m-2,total_column_trifluorobromomethane,tc_ha1301,218083,,X,X,Available from 28 June 2023
Total column water,kg m-2,total_column_water,tcw,136,,X,X,
Total column of water vapour (chemistry),kg m-2,total_column_water_vapour_chemistry,tc_h2o,218059,,X,X,Available from 28 June 2023
Total fine mode (r < 0.5 um) aerosol optical depth at 1020 nm,dimensionless,total_fine_mode_aerosol_optical_depth_1020nm,aodfm1020,215128,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 1064 nm,dimensionless,total_fine_mode_aerosol_optical_depth_1064nm,aodfm1064,215129,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 1240 nm,dimensionless,total_fine_mode_aerosol_optical_depth_1240nm,aodfm1240,215130,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 1640 nm,dimensionless,total_fine_mode_aerosol_optical_depth_1640nm,aodfm1640,215131,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 2130 nm,dimensionless,total_fine_mode_aerosol_optical_depth_2130nm,aodfm2130,215177,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 340 nm,dimensionless,total_fine_mode_aerosol_optical_depth_340nm,aodfm340,215114,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 355 nm,dimensionless,total_fine_mode_aerosol_optical_depth_355nm,aodfm355,215115,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 380 nm,dimensionless,total_fine_mode_aerosol_optical_depth_380nm,aodfm380,215116,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 400 nm,dimensionless,total_fine_mode_aerosol_optical_depth_400nm,aodfm400,215117,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 440 nm,dimensionless,total_fine_mode_aerosol_optical_depth_440nm,aodfm440,215118,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 469 nm,dimensionless,total_fine_mode_aerosol_optical_depth_469nm,aodfm469,215119,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 500 nm,dimensionless,total_fine_mode_aerosol_optical_depth_500nm,aodfm500,215120,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 532 nm,dimensionless,total_fine_mode_aerosol_optical_depth_532nm,aodfm532,215121,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 550 nm,dimensionless,total_fine_mode_aerosol_optical_depth_550nm,aodfm550,215122,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 645 nm,dimensionless,total_fine_mode_aerosol_optical_depth_645nm,aodfm645,215123,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 670 nm,dimensionless,total_fine_mode_aerosol_optical_depth_670nm,aodfm670,215124,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 800 nm,dimensionless,total_fine_mode_aerosol_optical_depth_800nm,aodfm800,215125,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 858 nm,dimensionless,total_fine_mode_aerosol_optical_depth_858nm,aodfm858,215126,,X,X,Only available from 26 June 2018 12UTC
Total fine mode (r < 0.5 um) aerosol optical depth at 865 nm,dimensionless,total_fine_mode_aerosol_optical_depth_865nm,aodfm865,215127,,X,X,Only available from 26 June 2018 12UTC
Total precipitation,m,total_precipitation,tp,228,,X,,
Total sky direct solar radiation at surface,J m-2,total_sky_direct_solar_radiation_at_surface,fdir,228021,,X,,
Vertically integrated mass of ammonium aerosol,kg m-2,vertically_integrated_mass_of_ammonium_aerosol,aermssam,215211,,X,X,Only available from 9 July 2019 00UTC
Vertically integrated mass of coarse-mode nitrate aerosol,kg m-2,vertically_integrated_mass_of_coarse_mode_nitrate_aerosol,aermssnic,215202,,X,X,Only available from 9 July 2019 00UTC
Vertically integrated mass of dust aerosol (0.03 - 0.55 um),kg m-2,vertically_integrated_mass_of_dust_aerosol_0.03-0.55um,aermssdus,215043,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of dust aerosol (0.55 - 9 um),kg m-2,vertically_integrated_mass_of_dust_aerosol_0.55-9um,aermssdum,215044,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of dust aerosol (9 - 20 um),kg m-2,vertically_integrated_mass_of_dust_aerosol_9-20um,aermssdul,215045,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of fine-mode nitrate aerosol,kg m-2,vertically_integrated_mass_of_fine_mode_nitrate_aerosol,aermssnif,215201,,X,X,Only available from 9 July 2019 00UTC
Vertically integrated mass of hydrophilic black carbon aerosol,kg m-2,vertically_integrated_mass_of_hydrophilic_black_carbon_aerosol,aermssbchphil,215078,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of hydrophilic organic matter aerosol,kg m-2,vertically_integrated_mass_of_hydrophilic_organic_matter_aerosol,aermssomhphil,215062,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of hydrophobic black carbon aerosol,kg m-2,vertically_integrated_mass_of_hydrophobic_black_carbon_aerosol,aermssbchphob,215077,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of hydrophobic organic matter aerosol,kg m-2,vertically_integrated_mass_of_hydrophobic_organic_matter_aerosol,aermssomhphob,215061,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of sea salt aerosol (0.03 - 0.5 um),kg m-2,vertically_integrated_mass_of_sea_salt_aerosol_0.03-0.5um,aermsssss,215019,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of sea salt aerosol (0.5 - 5 um),kg m-2,vertically_integrated_mass_of_sea_salt_aerosol_0.5-5um,aermssssm,215020,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of sea salt aerosol (5 - 20 um),kg m-2,vertically_integrated_mass_of_sea_salt_aerosol_5-20um,aermssssl,215021,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated mass of sulphate aerosol,kg m-2,vertically_integrated_mass_of_sulphate_aerosol,aermsssu,215087,,X,X,Only available from 26 September 2017 00UTC
Vertically integrated moisture divergence,kg m-2,vertically_integrated_moisture_divergence,vimd,213,,X,,Only available from 21 June 2016 00UTC
Visibility,km,visibility,vis,3020,,X,,Only available from 21 June 2016 00UTC
Wet deposition of ammonium aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_ammonium_aerosol_by_convective_precipitation,aerwdcam,215209,,X,,Only available from 9 July 2019 00UTC
Wet deposition of ammonium aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_ammonium_aerosol_by_large_scale_precipitation,aerwdlam,215208,,X,,Only available from 9 July 2019 00UTC
Wet deposition of coarse-mode nitrate aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_coarse_mode_nitrate_aerosol_by_convective_precipitation,aerwdcnic,215198,,X,,Only available from 9 July 2019 00UTC
Wet deposition of coarse-mode nitrate aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_coarse_mode_nitrate_aerosol_by_large_scale_precipitation,aerwdlnic,215196,,X,,Only available from 9 July 2019 00UTC
Wet deposition of dust aerosol (0.03 - 0.55 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_0.03-0.55um_by_convective_precipitation,aerwdccdus,215037,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (0.03 - 0.55 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_0.03-0.55um_by_large_scale_precipitation,aerwdlsdus,215034,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (0.55 - 9 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_0.55-9um_by_convective_precipitation,aerwdccdum,215038,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (0.55 - 9 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_0.55-9um_by_large_scale_precipitation,aerwdlsdum,215035,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (9 - 20 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_9-20um_by_convective_precipitation,aerwdccdul,215039,,X,,Only available from 26 June 2018 12UTC
Wet deposition of dust aerosol (9 - 20 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_dust_aerosol_9-20um_by_large_scale_precipitation,aerwdlsdul,215036,,X,,Only available from 26 June 2018 12UTC
Wet deposition of fine-mode nitrate aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_fine_mode_nitrate_aerosol_by_convective_precipitation,aerwdcnif,215197,,X,,Only available from 26 June 2018 12UTC
Wet deposition of fine-mode nitrate aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_fine_mode_nitrate_aerosol_by_large_scale_precipitation,aerwdlnif,215195,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophilic black carbon aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_hydrophilic_black_carbon_aerosol_by_convective_precipitation,aerwdccbchphil,215074,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophilic black carbon aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_hydrophilic_black_carbon_aerosol_by_large_scale_precipitation,aerwdlsbchphil,215072,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophilic organic matter aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_hydrophilic_organic_matter_aerosol_by_convective_precipitation,aerwdccomhphil,215058,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophilic organic matter aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_hydrophilic_organic_matter_aerosol_by_large_scale_precipitation,aerwdlsomhphil,215056,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophobic black carbon aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_hydrophobic_black_carbon_aerosol_by_convective_precipitation,aerwdccbchphob,215073,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophobic black carbon aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_hydrophobic_black_carbon_aerosol_by_large_scale_precipitation,aerwdlsbchphob,215071,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophobic organic matter aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_hydrophobic_organic_matter_aerosol_by_convective_precipitation,aerwdccomhphob,215057,,X,,Only available from 26 June 2018 12UTC
Wet deposition of hydrophobic organic matter aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_hydrophobic_organic_matter_aerosol_by_large_scale_precipitation,aerwdlsomhphob,215055,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (0.03 - 0.5 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_0.03-0.5um_by_convective_precipitation,aerwdccsss,215013,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (0.03 - 0.5 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_0.03-0.5um_by_large_scale_precipitation,aerwdlssss,215010,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (0.5 - 5 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_0.5-5um_by_convective_precipitation,aerwdccssm,215014,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (0.5 - 5 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_0.5-5um_by_large_scale_precipitation,aerwdlsssm,215011,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (5 - 20 um) by convective precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_5-20um_by_convective_precipitation,aerwdccssl,215015,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sea salt aerosol (5 - 20 um) by large-scale precipitation,kg m-2 s-1,wet_deposition_of_sea_salt_aerosol_5-20um_by_large_scale_precipitation,aerwdlsssl,215012,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sulphate aerosol by convective precipitation,kg m-2 s-1,wet_deposition_of_sulphate_aerosol_by_convective_precipitation,aerwdccsu,215085,,X,,Only available from 26 June 2018 12UTC
Wet deposition of sulphate aerosol by large-scale precipitation,kg m-2 s-1,wet_deposition_of_sulphate_aerosol_by_large_scale_precipitation,aerwdlssu,215084,,X,,Only available from 26 June 2018 12UTC
